******
args=> python_module target_function *target_func_args
******


y_true=FP(freq=13.6, phare=0.1),y_hat=FP(freq=14, phare=0.8)
y_true=FP(freq=13.6, phare=0.1),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=13.6, phare=0.1),y_hat=FP(freq=13.6, phare=0.1)
y_true=FP(freq=13.6, phare=0.1),y_hat=FP(freq=13.2, phare=1.4)
y_true=FP(freq=13.6, phare=0.1),y_hat=FP(freq=13.8, phare=0.45)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=13.8, phare=0.45)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=12.8, phare=0.7)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=12.8, phare=0.7)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=13.8, phare=0.45)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=13.6, phare=0.1)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=13.6, phare=0.1)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=14, phare=0.8)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=14, phare=0.8)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=14, phare=0.8)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=12.6, phare=0.35)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14.2, phare=1.15),y_hat=FP(freq=14, phare=0.8)
y_true=FP(freq=14.2, phare=1.15),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14.2, phare=1.15),y_hat=FP(freq=14, phare=0.8)
y_true=FP(freq=14.2, phare=1.15),y_hat=FP(freq=13.6, phare=0.1)
y_true=FP(freq=14.2, phare=1.15),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=13, phare=1.05)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=12.8, phare=0.7)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=13.6, phare=0.1)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=12.6, phare=0.35),y_hat=FP(freq=14, phare=0.8)
y_true=FP(freq=12.6, phare=0.35),y_hat=FP(freq=13.8, phare=0.45)
y_true=FP(freq=12.6, phare=0.35),y_hat=FP(freq=14, phare=0.8)
y_true=FP(freq=12.6, phare=0.35),y_hat=FP(freq=12.6, phare=0.35)
y_true=FP(freq=12.6, phare=0.35),y_hat=FP(freq=14, phare=0.8)
y_true=FP(freq=13.2, phare=1.4),y_hat=FP(freq=12.4, phare=0)
y_true=FP(freq=13.2, phare=1.4),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=13.2, phare=1.4),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=13.2, phare=1.4),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=13.2, phare=1.4),y_hat=FP(freq=13.6, phare=0.1)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=13.8, phare=0.45)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=12.4, phare=0)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=13.6, phare=0.1)
y_true=FP(freq=13.8, phare=0.45),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=13.8, phare=0.45),y_hat=FP(freq=12.4, phare=0)
y_true=FP(freq=13.8, phare=0.45),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=13.8, phare=0.45),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=13.8, phare=0.45),y_hat=FP(freq=13, phare=1.05)
y_true=FP(freq=13.6, phare=0.1),y_hat=FP(freq=13.6, phare=0.1)
y_true=FP(freq=13.6, phare=0.1),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=13.6, phare=0.1),y_hat=FP(freq=13.6, phare=0.1)
y_true=FP(freq=13.6, phare=0.1),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=13.6, phare=0.1),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=13, phare=1.05)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=13.4, phare=1.75)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=14, phare=0.8)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=14, phare=0.8)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=13.6, phare=0.1)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14, phare=0.8),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14.2, phare=1.15),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14.2, phare=1.15),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14.2, phare=1.15),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14.2, phare=1.15),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=14.2, phare=1.15),y_hat=FP(freq=14.2, phare=1.15)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=14, phare=0.8)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=12.6, phare=0.35)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=14, phare=0.8)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=13.6, phare=0.1)
y_true=FP(freq=12.4, phare=0),y_hat=FP(freq=14, phare=0.8)
y_true=FP(freq=12.6, phare=0.35),y_hat=FP(freq=13.6, phare=0.1)
y_true=FP(freq=12.6, phare=0.35),y_hat=FP(freq=13.6, phare=0.1)
y_true=FP(freq=12.6, phare=0.35),y_hat=FP(freq=12.4, phare=0)
y_true=FP(freq=12.6, phare=0.35),y_hat=FP(freq=14.2, phare=1.15)
